Year,"Country / territory of asylum/residence",Origin,"Refugees","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons"
1951,Australia,Various/Unknown,180000,,,,
1965,Australia,Various/Unknown,40000,,,,
1966,Australia,Various/Unknown,40000,,,,
1967,Australia,Various/Unknown,44000,,,,
1968,Australia,Various/Unknown,43000,,,,
1969,Australia,Various/Unknown,42000,,,,
1970,Australia,Various/Unknown,42000,,,,
1978,Australia,Various/Unknown,304000,,,,
1979,Australia,Various/Unknown,304000,,,,
1980,Australia,Various/Unknown,304000,,,,
1981,Australia,"Lao People's Dem. Rep.",,2,,,
1981,Australia,Various/Unknown,317000,,,,
1982,Australia,Various/Unknown,317000,,,,
1983,Australia,Various/Unknown,317000,,,,
1984,Australia,Various/Unknown,89000,,,,
1985,Australia,Various/Unknown,89000,,,,
1986,Australia,Various/Unknown,85900,,,,
1987,Australia,Various/Unknown,87600,,,,
1988,Australia,Various/Unknown,90970,,,,
1989,Australia,Various/Unknown,97915,,,,
1990,Australia,Various/Unknown,97915,,,,
1991,Australia,Various/Unknown,53117,,,,
1992,Australia,Various/Unknown,52604,,,,
1993,Australia,Chile,,89,,,
1993,Australia,Ethiopia,,54,,,
1993,Australia,"Sri Lanka",,9,,,
1993,Australia,"El Salvador",,48,,,
1993,Australia,Various/Unknown,53505,,,,
1994,Australia,Chile,,58,,,
1994,Australia,Lesotho,,1,,,
1994,Australia,"El Salvador",,9,,,
1994,Australia,Various/Unknown,57575,,,,
1994,Australia,"South Africa",,5,,,
1995,Australia,Chile,,42,,,
1995,Australia,Malawi,,1,,,
1995,Australia,"El Salvador",,7,,,
1995,Australia,Various/Unknown,62145,,,,
1995,Australia,"South Africa",,1,,,
1996,Australia,Afghanistan,2199,,,,
1996,Australia,Albania,42,,,,
1996,Australia,Armenia,50,,,,
1996,Australia,Austria,4,,,,
1996,Australia,Azerbaijan,12,,,,
1996,Australia,Bangladesh,18,,,,
1996,Australia,Bulgaria,1,,,,
1996,Australia,"Bosnia and Herzegovina",3502,54,,,
1996,Australia,Belarus,51,,,,
1996,Australia,Brazil,11,,,,
1996,Australia,Chile,6,,,,
1996,Australia,China,539,,,,
1996,Australia,"Dem. Rep. of the Congo",23,,,,
1996,Australia,Colombia,13,,,,
1996,Australia,Comoros,1,,,,
1996,Australia,"Costa Rica",1,,,,
1996,Australia,Cuba,1,,,,
1996,Australia,Cyprus,1,,,,
1996,Australia,"Czech Rep.",2,,,,
1996,Australia,Germany,18,,,,
1996,Australia,Djibouti,5,,,,
1996,Australia,Algeria,23,,,,
1996,Australia,Ecuador,1,,,,
1996,Australia,Egypt,161,,,,
1996,Australia,Eritrea,518,,,,
1996,Australia,Estonia,2,,,,
1996,Australia,Ethiopia,1816,,,,
1996,Australia,Fiji,5,,,,
1996,Australia,France,3,,,,
1996,Australia,Georgia,8,,,,
1996,Australia,Ghana,7,,,,
1996,Australia,Guinea,1,,,,
1996,Australia,Greece,5,,,,
1996,Australia,Guatemala,14,,,,
1996,Australia,Honduras,8,,,,
1996,Australia,Croatia,1076,,,,
1996,Australia,Hungary,1,,,,
1996,Australia,Indonesia,991,,,,
1996,Australia,India,82,,,,
1996,Australia,"Iran (Islamic Rep. of)",1763,,,,
1996,Australia,Iraq,9724,,,,
1996,Australia,Israel,147,,,,
1996,Australia,Jordan,10,,,,
1996,Australia,Kazakhstan,14,,,,
1996,Australia,Kenya,21,,,,
1996,Australia,Kyrgyzstan,1,,,,
1996,Australia,Cambodia,1857,,,,
1996,Australia,"Rep. of Korea",7,,,,
1996,Australia,Kuwait,41,,,,
1996,Australia,"Lao People's Dem. Rep.",291,,,,
1996,Australia,Lebanon,78,,,,
1996,Australia,Liberia,5,,,,
1996,Australia,"Sri Lanka",1177,,,,
1996,Australia,Lithuania,6,,,,
1996,Australia,Latvia,11,,,,
1996,Australia,Morocco,3,,,,
1996,Australia,"Rep. of Moldova",60,,,,
1996,Australia,"The former Yugoslav Republic of Macedonia",10,,,,
1996,Australia,Myanmar,1612,,,,
1996,Australia,Malawi,1,,,,
1996,Australia,Malaysia,18,,,,
1996,Australia,Nigeria,4,,,,
1996,Australia,Nicaragua,21,,,,
1996,Australia,Nepal,6,,,,
1996,Australia,Oman,1,,,,
1996,Australia,Pakistan,129,,,,
1996,Australia,Peru,75,,,,
1996,Australia,Philippines,21,,,,
1996,Australia,"Papua New Guinea",2,,,,
1996,Australia,Poland,11,,,,
1996,Australia,"Dem. People's Rep. of Korea",1,,,,
1996,Australia,Portugal,9,,,,
